Question,Answer
What is this website about?,"This website is a Football centric website, which allows you to explore and see different aspects of the world's most beautiful game"
Is this platform free to use?,"This Platform is absolutely free to use. Thank you for coming to our website, it really means a lot to us."
Do I need to sign up to use the features?,"No, Just start using and diving into the world of football."
Can I use this on my phone?,"All the features and models work in Mobile phones, but some designs may appear disfigured as we only have the computer site."
How accurate are the predictions?,The Transfer fee predictor more precisely is about 76% accurate based on the 2023-24 season data.
How is data for players collected?,"The Data for players are collected from Fbref and TransferMarkt, we researched for features which were most important and they were collected via Web Scraping"
Are women's football teams included?,Yes!! The Women's teams and players are included!! Get into building your dream Women's team.
Is the data updated in real time?,"No, for now the data is not updated in real time."
Can I save or share my created team?,Of course you can share your team by taking a screenshot and sharing with your friends.
Do you cover all football leagues?,"For our Favorite Team Maker we cover all the leagues, for the Transfer fee we cover EPL, La Liga, Serie A, Ligue 1, Bundesliga only."
Who developed this platform?,This Platform was developed by college students who put their skills to create something they like. 
Are there any plans to add fantasy football integration?,"Not now, but who knows, maybe in the future!"
Can I use the website in other languages?,No only in English! Sorry for inconvinience!
How do I build my favorite XI?,"To Build your Favorite 11 just go to our Main Menu and click on ""Make Your Team"" . "
Can I select players from different leagues?,"Of course, you can select players from different leagues."
Can I make a mixed-gender team?,"No, you cannot make a mixed gender team"
How do I choose the formation?,There is a dropdown list from the formations which we offer in the left side of the window for the Favorite 11 Maker.
Can I auto-select the best XI?,"No You cannot, you have to make your 11"
What stats are shown for each player?,The Overall and The club name is shown
Can I compare my XI with someone else's?,"At this moment, No you cannot."
Can I download an image of my team?,"Yes!!, just take a screenshot of your 11, share, download, enjoy"
Is there a restriction on team balance?,You have to make a choice from the set of Lineups we offer.
Can I make multiple teams?,"No, only one team at once."
Are player ratings real-time?,Yes
How are ratings calculated?,"By taking into consideration facts and stats like goals, assists, tackles, saves and a lot more."
"Can I create historical XIs (e.g., best of 2010s)?","No You cannot, Only current players"
Is chemistry between players considered?,"No, Its not considered"
Can I share my team on social media?,"Yes, Take a screenshot and share it in the Social Media"
Can I filter players by club or country?,"Absolute;y, You can filter via league, country and club!"
Can I make a team just with retired players?,No
How do I know if a player is injured?,All players are considered fit.
Can I exclude certain players from selection?,"Yes, You can apply filters and do that."
Do you show the total market value of my team?,"Currently, we do not calculate or display the total market value of your selected XI. However, you can see each player's overall rating (OVR) and club, which can indirectly help gauge strength."
How does the transfer fee predictor work?,"The transfer fee predictor uses machine learning models trained on real-world transfer data and player statistics, including age, position, OVR rating, and league. It estimates a realistic market value for a player based on current trends."
What factors influence the predicted fee?,"Factors include the player's age, position, current club, league, nationality, and most importantly, their overall rating (OVR) and recent performance data if available."
Are recent performances considered?,"If available in the dataset, recent performances are included. However, if the player’s recent data is missing, predictions rely on the most stable features like OVR and position."
Can I predict fees for retired players?,"Currently, retired players are not supported in the fee predictor since most of the predictive data is based on active player stats."
Can I compare predicted fee with actual transfer history?,"Not directly, but you can look up a player’s past transfer history externally and compare it with our predicted value for validation."
Do you include inflation in transfer values?,"At present, inflation is not explicitly modeled. Fees are predicted based on current market patterns and do not include historical price adjustments."
Are youth players included?,"Yes, youth players are included in the dataset as long as they have sufficient stats like OVR, position, and club data."
How reliable is the fee prediction?,"While no model is perfect, the predictions offer a reasonable estimation based on data-driven analysis and can serve as a strong reference point."
